model,batch_size,id,latency_ns
llama3_70b,16,94,80544
llama3_70b,16,95,83200
llama3_70b,16,96,86880
llama3_70b,16,97,98144
llama3_70b,16,98,107872
llama3_70b,16,99,70624
llama3_70b,32,1,168960
llama3_70b,32,10,154496
llama3_70b,32,100,169344
llama3_70b,32,11,177760
llama3_70b,32,12,174336
llama3_70b,32,13,179936
llama3_70b,32,14,175904
llama3_70b,32,15,173248
llama3_70b,32,16,168512
llama3_70b,32,17,180832
llama3_70b,32,18,169472
llama3_70b,32,19,173248
llama3_70b,32,2,171648
llama3_70b,32,20,180992
llama3_70b,32,21,182688
llama3_70b,32,22,172704
llama3_70b,32,23,184288
llama3_70b,32,24,182048
llama3_70b,32,25,166080
llama3_70b,32,26,191168
llama3_70b,32,27,157952
llama3_70b,32,28,190080
llama3_70b,32,29,175744
llama3_70b,32,3,179008
llama3_70b,32,30,184000
llama3_70b,32,31,187584
llama3_70b,32,32,180288
llama3_70b,32,33,175072
llama3_70b,32,34,174464
llama3_70b,32,35,155968
llama3_70b,32,36,168000
llama3_70b,32,37,159008
llama3_70b,32,38,171424
llama3_70b,32,39,179552
llama3_70b,32,4,177152
llama3_70b,32,40,190688
llama3_70b,32,41,187744
llama3_70b,32,42,158496
llama3_70b,32,43,178720
llama3_70b,32,44,176160
llama3_70b,32,45,178912
llama3_70b,32,46,185120
llama3_70b,32,47,185056
llama3_70b,32,48,174080
llama3_70b,32,49,176864
llama3_70b,32,5,174016
llama3_70b,32,50,181184
llama3_70b,32,51,170304
llama3_70b,32,52,172416
llama3_70b,32,53,176896
llama3_70b,32,54,167200
llama3_70b,32,55,165471
llama3_70b,32,56,169920
llama3_70b,32,57,179648
llama3_70b,32,58,165280
llama3_70b,32,59,166144
llama3_70b,32,6,189120
llama3_70b,32,60,154528
llama3_70b,32,61,180576
llama3_70b,32,62,149472
llama3_70b,32,63,175040
llama3_70b,32,64,179616
llama3_70b,32,65,179296
llama3_70b,32,66,171680
llama3_70b,32,67,143776
llama3_70b,32,68,178720
llama3_70b,32,69,187968
llama3_70b,32,7,180096
llama3_70b,32,70,189440
llama3_70b,32,71,157568
llama3_70b,32,72,182816
llama3_70b,32,73,161920
llama3_70b,32,74,174912
llama3_70b,32,75,200128
llama3_70b,32,76,179424
llama3_70b,32,77,160704
llama3_70b,32,78,182432
llama3_70b,32,79,187648
llama3_70b,32,8,179968
llama3_70b,32,80,159040
llama3_70b,32,81,187104
llama3_70b,32,82,168448
llama3_70b,32,83,184096
llama3_70b,32,84,177856
llama3_70b,32,85,202432
llama3_70b,32,86,186208
llama3_70b,32,87,204416
llama3_70b,32,88,173920
llama3_70b,32,89,177248
llama3_70b,32,9,202528
llama3_70b,32,90,158176
llama3_70b,32,91,172128
llama3_70b,32,92,157856
llama3_70b,32,93,179136
llama3_70b,32,94,188160
llama3_70b,32,95,169087
llama3_70b,32,96,160960
llama3_70b,32,97,171264
llama3_70b,32,98,154144
llama3_70b,32,99,180960
llama3_70b,64,1,288160
llama3_70b,64,10,302720
llama3_70b,64,100,312384
llama3_70b,64,11,329024
llama3_70b,64,12,336352
llama3_70b,64,13,371936
llama3_70b,64,14,310784
llama3_70b,64,15,310976
llama3_70b,64,16,341600
llama3_70b,64,17,319488
llama3_70b,64,18,294688
llama3_70b,64,19,341216
llama3_70b,64,2,326208
llama3_70b,64,20,321152
llama3_70b,64,21,330016
llama3_70b,64,22,320640
llama3_70b,64,23,328448
llama3_70b,64,24,332704
llama3_70b,64,25,320608
llama3_70b,64,26,324928
llama3_70b,64,27,332192
llama3_70b,64,28,359968
llama3_70b,64,29,326112
llama3_70b,64,3,297312
llama3_70b,64,30,353344
llama3_70b,64,31,344736
llama3_70b,64,32,296896
llama3_70b,64,33,363520
llama3_70b,64,34,348064
llama3_70b,64,35,323968
llama3_70b,64,36,325280
llama3_70b,64,37,312352
llama3_70b,64,38,330272
llama3_70b,64,39,342592
llama3_70b,64,4,336352
llama3_70b,64,40,358080
llama3_70b,64,41,322816
llama3_70b,64,42,334784
llama3_70b,64,43,344096
llama3_70b,64,44,360544
llama3_70b,64,45,299808
llama3_70b,64,46,312768
llama3_70b,64,47,320448
llama3_70b,64,48,304960
llama3_70b,64,49,362048
llama3_70b,64,5,312352
llama3_70b,64,50,325248
llama3_70b,64,51,335936
llama3_70b,64,52,341760
llama3_70b,64,53,334784
llama3_70b,64,54,362752
llama3_70b,64,55,328288
llama3_70b,64,56,313536
llama3_70b,64,57,342720
llama3_70b,64,58,316896
llama3_70b,64,59,343616
llama3_70b,64,6,287296
llama3_70b,64,60,333184
llama3_70b,64,61,317120
llama3_70b,64,62,307072
llama3_70b,64,63,356192
llama3_70b,64,64,309696
llama3_70b,64,65,339872
llama3_70b,64,66,338528
llama3_70b,64,67,354240
llama3_70b,64,68,341024
llama3_70b,64,69,324000
llama3_70b,64,7,332864
llama3_70b,64,70,291424
llama3_70b,64,71,299456
llama3_70b,64,72,313280
llama3_70b,64,73,349216
llama3_70b,64,74,325792
llama3_70b,64,75,352480
llama3_70b,64,76,349888
llama3_70b,64,77,360000
llama3_70b,64,78,332320
llama3_70b,64,79,345376
llama3_70b,64,8,329440
llama3_70b,64,80,341248
llama3_70b,64,81,351296
llama3_70b,64,82,325024
llama3_70b,64,83,346656
llama3_70b,64,84,343360
llama3_70b,64,85,350880
llama3_70b,64,86,331840
llama3_70b,64,87,341024
llama3_70b,64,88,303424
llama3_70b,64,89,357088
llama3_70b,64,9,328768
llama3_70b,64,90,316192
llama3_70b,64,91,309088
llama3_70b,64,92,350112
llama3_70b,64,93,311040
llama3_70b,64,94,329408
llama3_70b,64,95,326592
llama3_70b,64,96,365728
llama3_70b,64,97,347488
llama3_70b,64,98,353216
llama3_70b,64,99,335264
llama3_8b,128,1,570368
llama3_8b,128,10,581184
llama3_8b,128,100,636352
llama3_8b,128,11,608064
llama3_8b,128,12,651488
llama3_8b,128,13,610912
llama3_8b,128,14,632768
llama3_8b,128,15,576416
llama3_8b,128,16,572256
llama3_8b,128,17,654528
llama3_8b,128,18,651552
llama3_8b,128,19,628640
llama3_8b,128,2,598528
llama3_8b,128,20,626176
llama3_8b,128,21,607040
llama3_8b,128,22,596640
llama3_8b,128,23,547936
llama3_8b,128,24,660544
llama3_8b,128,25,617056
llama3_8b,128,26,605568
llama3_8b,128,27,619296
llama3_8b,128,28,634464
llama3_8b,128,29,610048
llama3_8b,128,3,599488
llama3_8b,128,30,628160
llama3_8b,128,31,598080
llama3_8b,128,32,597248
llama3_8b,128,33,617856
llama3_8b,128,34,619232
llama3_8b,128,35,598432
llama3_8b,128,36,594272
llama3_8b,128,37,615104
llama3_8b,128,38,582592
llama3_8b,128,39,624768
llama3_8b,128,4,624672
llama3_8b,128,40,601664
llama3_8b,128,41,602752
llama3_8b,128,42,611392
llama3_8b,128,43,642112
llama3_8b,128,44,612000
llama3_8b,128,45,630176
llama3_8b,128,46,660960
llama3_8b,128,47,646656
llama3_8b,128,48,595360
llama3_8b,128,49,646656
llama3_8b,128,5,541152
llama3_8b,128,50,593920
llama3_8b,128,51,608032
llama3_8b,128,52,580320
llama3_8b,128,53,627520
llama3_8b,128,54,632544
llama3_8b,128,55,650912
llama3_8b,128,56,568832
llama3_8b,128,57,583616
llama3_8b,128,58,603840
llama3_8b,128,59,619520
llama3_8b,128,6,598816
llama3_8b,128,60,604928
llama3_8b,128,61,636416
llama3_8b,128,62,649952
llama3_8b,128,63,614240
llama3_8b,128,64,596704
llama3_8b,128,65,581120
llama3_8b,128,66,613312
llama3_8b,128,67,600896
llama3_8b,128,68,605536
llama3_8b,128,69,666496
llama3_8b,128,7,614880
llama3_8b,128,70,564064
llama3_8b,128,71,613504
llama3_8b,128,72,581856
llama3_8b,128,73,603456
llama3_8b,128,74,592384
llama3_8b,128,75,603648
llama3_8b,128,76,637248
llama3_8b,128,77,629760
llama3_8b,128,78,572448
llama3_8b,128,79,599456
llama3_8b,128,8,589505
llama3_8b,128,80,573248
llama3_8b,128,81,618432
llama3_8b,128,82,569600
llama3_8b,128,83,611616
llama3_8b,128,84,620224
llama3_8b,128,85,649280
llama3_8b,128,86,593312
llama3_8b,128,87,599168
llama3_8b,128,88,660672
llama3_8b,128,89,598880
llama3_8b,128,9,611488
llama3_8b,128,90,648704
llama3_8b,128,91,642112
llama3_8b,128,92,605760
llama3_8b,128,93,621760
llama3_8b,128,94,646432
llama3_8b,128,95,601152
llama3_8b,128,96,572928
llama3_8b,128,97,590368
llama3_8b,128,98,589984
llama3_8b,128,99,599968
llama3_8b,16,1,83616
llama3_8b,16,10,69120
llama3_8b,16,100,83840
llama3_8b,16,11,85792
llama3_8b,16,12,96608
llama3_8b,16,13,83648
llama3_8b,16,14,89728
llama3_8b,16,15,86656
llama3_8b,16,16,87680
llama3_8b,16,17,88352
llama3_8b,16,18,95456
llama3_8b,16,19,82592
llama3_8b,16,2,86240
llama3_8b,16,20,77888
llama3_8b,16,21,93152
llama3_8b,16,22,82144
llama3_8b,16,23,76288
llama3_8b,16,24,72928
llama3_8b,16,25,59936
llama3_8b,16,26,88160
llama3_8b,16,27,74432
llama3_8b,16,28,88512
llama3_8b,16,29,74816
llama3_8b,16,3,79104
llama3_8b,16,30,83584
llama3_8b,16,31,91808
llama3_8b,16,32,80288
llama3_8b,16,33,113184
llama3_8b,16,34,90112
llama3_8b,16,35,88224
llama3_8b,16,36,89984
llama3_8b,16,37,97792
llama3_8b,16,38,100384
llama3_8b,16,39,80128
llama3_8b,16,4,75744
llama3_8b,16,40,85664
llama3_8b,16,41,68608
llama3_8b,16,42,93824
llama3_8b,16,43,81792
llama3_8b,16,44,87840
llama3_8b,16,45,94912
llama3_8b,16,46,92448
llama3_8b,16,47,86496
llama3_8b,16,48,111840
llama3_8b,16,49,93120
llama3_8b,16,5,83072
llama3_8b,16,50,99360
llama3_8b,16,51,87136
llama3_8b,16,52,92288
llama3_8b,16,53,91776
llama3_8b,16,54,95296
llama3_8b,16,55,88544
llama3_8b,16,56,101280
llama3_8b,16,57,89664
llama3_8b,16,58,68224
llama3_8b,16,59,80832
llama3_8b,16,6,78816
llama3_8b,16,60,108096
llama3_8b,16,61,79008
llama3_8b,16,62,70432
llama3_8b,16,63,79520
llama3_8b,16,64,69312
llama3_8b,16,65,89664
llama3_8b,16,66,81504
llama3_8b,16,67,62784
llama3_8b,16,68,84320
llama3_8b,16,69,97536
llama3_8b,16,7,81312
llama3_8b,16,70,81984
llama3_8b,16,71,79360
llama3_8b,16,72,79520
llama3_8b,16,73,76928
llama3_8b,16,74,84288
llama3_8b,16,75,83360
llama3_8b,16,76,82016
llama3_8b,16,77,98528
llama3_8b,16,78,90048
llama3_8b,16,79,92448
llama3_8b,16,8,85792
llama3_8b,16,80,92032
llama3_8b,16,81,69792
llama3_8b,16,82,96128
llama3_8b,16,83,84512
llama3_8b,16,84,89440
llama3_8b,16,85,103232
llama3_8b,16,86,76512
llama3_8b,16,87,75456
llama3_8b,16,88,96160
llama3_8b,16,89,89280
llama3_8b,16,9,74688
llama3_8b,16,90,85568
llama3_8b,16,91,91392
llama3_8b,16,92,82464
llama3_8b,16,93,87904
llama3_8b,16,94,84000
llama3_8b,16,95,85056
llama3_8b,16,96,86624
llama3_8b,16,97,92992
llama3_8b,16,98,74848
llama3_8b,16,99,84032
llama3_8b,32,1,175072
llama3_8b,32,10,208032
llama3_8b,32,100,143360
llama3_8b,32,11,168032
llama3_8b,32,12,183808
llama3_8b,32,13,187264
llama3_8b,32,14,185440
llama3_8b,32,15,177440
llama3_8b,32,16,177344
llama3_8b,32,17,175808
llama3_8b,32,18,171072
llama3_8b,32,19,167712
llama3_8b,32,2,168640
llama3_8b,32,20,172896
llama3_8b,32,21,152512
llama3_8b,32,22,166144
llama3_8b,32,23,160352
llama3_8b,32,24,189920
llama3_8b,32,25,157088
llama3_8b,32,26,162912
llama3_8b,32,27,172256
llama3_8b,32,28,163360
llama3_8b,32,29,167168
llama3_8b,32,3,193728
llama3_8b,32,30,179552
llama3_8b,32,31,176256
llama3_8b,32,32,188736
llama3_8b,32,33,193824
llama3_8b,32,34,162656
llama3_8b,32,35,173536
llama3_8b,32,36,165536
llama3_8b,32,37,179872
llama3_8b,32,38,172384
llama3_8b,32,39,156992
llama3_8b,32,4,174112
llama3_8b,32,40,182656
llama3_8b,32,41,191520
llama3_8b,32,42,163808
llama3_8b,32,43,150848
llama3_8b,32,44,177664
llama3_8b,32,45,148544
llama3_8b,32,46,178464
llama3_8b,32,47,188288
llama3_8b,32,48,184736
llama3_8b,32,49,184960
llama3_8b,32,5,161760
llama3_8b,32,50,190976
llama3_8b,32,51,178720
llama3_8b,32,52,196096
llama3_8b,32,53,165824
llama3_8b,32,54,166592
llama3_8b,32,55,182016
llama3_8b,32,56,165216
llama3_8b,32,57,159904
llama3_8b,32,58,173536
llama3_8b,32,59,182272
llama3_8b,32,6,185536
llama3_8b,32,60,194592
llama3_8b,32,61,156864
llama3_8b,32,62,176960
llama3_8b,32,63,176352
llama3_8b,32,64,162688
llama3_8b,32,65,173664
llama3_8b,32,66,167040
llama3_8b,32,67,179936
llama3_8b,32,68,160064
llama3_8b,32,69,180576
llama3_8b,32,7,168448
llama3_8b,32,70,160768
llama3_8b,32,71,167552
llama3_8b,32,72,174112
llama3_8b,32,73,169728
llama3_8b,32,74,187136
llama3_8b,32,75,190400
llama3_8b,32,76,180736
llama3_8b,32,77,173024
llama3_8b,32,78,150400
llama3_8b,32,79,162784
llama3_8b,32,8,185024
llama3_8b,32,80,163200
llama3_8b,32,81,169536
llama3_8b,32,82,177216
llama3_8b,32,83,178752
llama3_8b,32,84,161248
llama3_8b,32,85,171712
llama3_8b,32,86,176032
llama3_8b,32,87,184640
llama3_8b,32,88,175232
llama3_8b,32,89,177441
llama3_8b,32,9,174112
llama3_8b,32,90,172544
llama3_8b,32,91,170528
llama3_8b,32,92,154688
llama3_8b,32,93,177248
llama3_8b,32,94,181088
llama3_8b,32,95,172480
llama3_8b,32,96,165664
llama3_8b,32,97,168576
llama3_8b,32,98,164128
llama3_8b,32,99,185952
llama3_8b,64,1,316672
llama3_8b,64,10,345856
llama3_8b,64,100,370464
llama3_8b,64,11,352960
llama3_8b,64,12,331360
llama3_8b,64,13,321728
llama3_8b,64,14,338752
llama3_8b,64,15,348608
llama3_8b,64,16,306304
llama3_8b,64,17,349696
llama3_8b,64,18,333056
llama3_8b,64,19,325088
llama3_8b,64,2,299296
llama3_8b,64,20,312480
llama3_8b,64,21,325248
llama3_8b,64,22,337024
llama3_8b,64,23,344448
llama3_8b,64,24,349952
llama3_8b,64,25,341696
llama3_8b,64,26,345600
llama3_8b,64,27,319232
llama3_8b,64,28,355424
llama3_8b,64,29,335840
llama3_8b,64,3,329728
llama3_8b,64,30,346048
llama3_8b,64,31,364992
llama3_8b,64,32,293280
llama3_8b,64,33,314336
llama3_8b,64,34,335520
llama3_8b,64,35,355616
llama3_8b,64,36,352064
llama3_8b,64,37,338624
llama3_8b,64,38,326400
llama3_8b,64,39,342848
llama3_8b,64,4,331904
llama3_8b,64,40,320000
llama3_8b,64,41,315552
llama3_8b,64,42,322944
llama3_8b,64,43,308000
llama3_8b,64,44,336096
llama3_8b,64,45,312768
llama3_8b,64,46,350752
llama3_8b,64,47,337280
llama3_8b,64,48,354080
llama3_8b,64,49,341792
llama3_8b,64,5,335936
llama3_8b,64,50,308768
llama3_8b,64,51,321344
llama3_8b,64,52,315936
llama3_8b,64,53,334784
llama3_8b,64,54,301728
llama3_8b,64,55,336128
llama3_8b,64,56,333120
llama3_8b,64,57,303936
llama3_8b,64,58,338688
llama3_8b,64,59,309600
llama3_8b,64,6,342976
llama3_8b,64,60,317184
llama3_8b,64,61,305024
llama3_8b,64,62,323520
llama3_8b,64,63,347808
llama3_8b,64,64,345184
llama3_8b,64,65,331392
llama3_8b,64,66,366240
llama3_8b,64,67,345472
llama3_8b,64,68,335264
llama3_8b,64,69,348928
llama3_8b,64,7,311712
llama3_8b,64,70,333696
llama3_8b,64,71,329120
llama3_8b,64,72,337056
llama3_8b,64,73,321184
llama3_8b,64,74,347040
llama3_8b,64,75,351488
llama3_8b,64,76,349536
llama3_8b,64,77,338464
llama3_8b,64,78,303072
llama3_8b,64,79,297952
llama3_8b,64,8,337536
llama3_8b,64,80,366912
llama3_8b,64,81,333536
llama3_8b,64,82,352064
llama3_8b,64,83,363648
llama3_8b,64,84,341056
llama3_8b,64,85,309792
llama3_8b,64,86,329632
llama3_8b,64,87,288352
llama3_8b,64,88,334304
llama3_8b,64,89,322080
llama3_8b,64,9,339744
llama3_8b,64,90,326560
llama3_8b,64,91,347520
llama3_8b,64,92,325280
llama3_8b,64,93,334240
llama3_8b,64,94,331360
llama3_8b,64,95,351520
llama3_8b,64,96,337440
llama3_8b,64,97,329888
llama3_8b,64,98,334816
llama3_8b,64,99,332128
llama3_405b,128,21,607424
llama3_405b,128,2,649952
llama3_405b,128,15,635840
llama3_405b,128,20,611552
llama3_405b,128,18,654272
llama3_405b,128,12,657856
llama3_405b,128,10,642496
llama3_405b,128,22,647744
llama3_405b,128,16,612352
llama3_405b,128,11,614272
llama3_405b,128,17,599328
llama3_405b,128,100,605536
llama3_405b,128,13,630784
llama3_405b,128,14,604512
llama3_405b,128,19,614176
llama3_405b,128,23,582624
llama3_405b,128,24,589792
llama3_405b,128,32,651232
llama3_405b,128,29,605408
llama3_405b,128,3,625664
llama3_405b,128,33,647232
llama3_405b,128,27,596864
llama3_405b,128,28,573536
llama3_405b,128,34,626976
llama3_405b,128,31,619424
llama3_405b,128,30,616256
llama3_405b,128,35,646304
llama3_405b,128,26,628224
llama3_405b,128,25,613568
llama3_405b,128,36,547200
llama3_405b,128,37,644288
llama3_405b,128,39,581504
llama3_405b,128,38,551808
llama3_405b,128,45,545696
llama3_405b,128,44,605440
llama3_405b,128,46,623648
llama3_405b,128,43,626624
llama3_405b,128,40,625280
llama3_405b,128,42,654912
llama3_405b,128,41,614208
llama3_405b,128,4,576288
llama3_405b,128,47,566976
llama3_405b,128,48,656512
llama3_405b,128,49,617888
llama3_405b,128,5,613376
llama3_405b,128,1,591552
llama3_405b,128,51,558400
llama3_405b,128,54,585664
llama3_405b,128,50,650240
llama3_405b,128,55,594336
llama3_405b,128,57,618304
llama3_405b,128,52,626112
llama3_405b,128,58,618016
llama3_405b,128,59,633792
llama3_405b,128,56,598624
llama3_405b,128,60,620928
llama3_405b,128,53,622208
llama3_405b,128,61,658752
llama3_405b,128,63,594464
llama3_405b,128,6,632672
llama3_405b,128,62,614496
llama3_405b,128,64,622944
llama3_405b,128,69,636288
llama3_405b,128,65,631488
llama3_405b,128,66,595232
llama3_405b,128,68,618816
llama3_405b,128,74,640576
llama3_405b,128,73,610464
llama3_405b,128,71,601440
llama3_405b,128,70,613856
llama3_405b,128,72,609600
llama3_405b,128,75,631136
llama3_405b,128,7,609536
llama3_405b,128,76,571200
llama3_405b,128,78,613760
llama3_405b,128,67,639072
llama3_405b,128,77,644544
llama3_405b,128,79,682656
llama3_405b,128,80,615328
llama3_405b,128,81,632416
llama3_405b,128,8,624576
llama3_405b,128,84,628544
llama3_405b,128,83,605120
llama3_405b,128,86,557024
llama3_405b,128,85,618080
llama3_405b,128,87,611008
llama3_405b,128,89,581504
llama3_405b,128,88,594272
llama3_405b,128,9,581600
llama3_405b,128,90,619104
llama3_405b,128,82,644704
llama3_405b,128,91,645376
llama3_405b,128,92,637120
llama3_405b,128,93,607008
llama3_405b,128,99,607904
llama3_405b,128,94,577888
llama3_405b,16,1,80320
llama3_405b,128,95,642784
llama3_405b,16,11,87232
llama3_405b,128,97,655744
llama3_405b,16,100,64160
llama3_405b,16,10,100032
llama3_405b,128,96,595392
llama3_405b,16,14,81216
llama3_405b,16,16,72512
llama3_405b,128,98,593248
llama3_405b,16,15,78592
llama3_405b,16,13,67872
llama3_405b,16,12,94688
llama3_405b,16,17,78304
llama3_405b,16,19,88064
llama3_405b,16,18,96096
llama3_405b,16,20,81184
llama3_405b,16,2,63136
llama3_405b,16,21,95872
llama3_405b,16,23,80608
llama3_405b,16,22,86720
llama3_405b,16,24,93504
llama3_405b,16,25,67296
llama3_405b,16,28,83264
llama3_405b,16,29,69920
llama3_405b,16,27,83104
llama3_405b,16,3,96192
llama3_405b,16,26,69696
llama3_405b,16,30,80544
llama3_405b,16,31,75392
llama3_405b,16,33,83008
llama3_405b,16,32,75904
llama3_405b,16,34,69344
llama3_405b,16,38,89888
llama3_405b,16,37,75488
llama3_405b,16,4,83072
llama3_405b,16,35,87200
llama3_405b,16,36,91136
llama3_405b,16,39,94944
llama3_405b,16,40,76352
llama3_405b,16,42,85824
llama3_405b,16,41,90848
llama3_405b,16,45,91008
llama3_405b,16,44,92864
llama3_405b,16,43,85856
llama3_405b,16,46,65920
llama3_405b,16,47,92064
llama3_405b,16,48,75840
llama3_405b,16,49,72160
llama3_405b,16,51,86400
llama3_405b,16,50,63712
llama3_405b,16,55,82112
llama3_405b,16,53,85216
llama3_405b,16,54,81312
llama3_405b,16,52,76896
llama3_405b,16,56,81856
llama3_405b,16,58,94720
llama3_405b,16,57,77632
llama3_405b,16,59,68832
llama3_405b,16,5,88800
llama3_405b,16,6,93568
llama3_405b,16,60,88640
llama3_405b,16,61,79680
llama3_405b,16,62,95936
llama3_405b,16,68,83936
llama3_405b,16,65,54592
llama3_405b,16,64,91072
llama3_405b,16,7,90848
llama3_405b,16,63,93984
llama3_405b,16,70,75840
llama3_405b,16,67,92800
llama3_405b,16,66,87040
llama3_405b,16,69,96384
llama3_405b,16,73,88160
llama3_405b,16,72,95968
llama3_405b,16,71,87520
llama3_405b,16,74,76416
llama3_405b,16,75,101504
llama3_405b,16,77,95200
llama3_405b,16,76,80736
llama3_405b,16,8,96416
llama3_405b,16,78,103136
llama3_405b,16,82,78784
llama3_405b,16,79,99552
llama3_405b,16,86,72256
llama3_405b,16,83,86976
llama3_405b,16,84,96960
llama3_405b,16,87,75232
llama3_405b,16,80,88896
llama3_405b,16,85,91840
llama3_405b,16,88,88576
llama3_405b,16,81,83808
llama3_405b,16,89,89760
llama3_405b,16,9,77536
llama3_405b,16,91,63488
llama3_405b,16,90,93536
llama3_405b,16,92,90432
llama3_405b,16,93,86048
llama3_405b,16,95,86016
llama3_405b,16,98,87040
llama3_405b,16,94,100800
